Country_Format,Date, Sales_Plan 
NI-3,1/2/2023," 210,087.50 "
NI-3,1/3/2023," 186,622.01 "
NI-3,1/4/2023," 172,224.59 "
NI-3,1/5/2023," 154,375.73 "
NI-3,1/6/2023," 149,327.19 "
NI-3,1/7/2023," 195,173.43 "
NI-3,1/8/2023," 164,826.51 "
NI-3,1/9/2023," 187,535.25 "
NI-3,1/10/2023," 156,847.47 "
NI-3,1/11/2023," 139,607.43 "
NI-3,1/12/2023," 152,639.29 "
NI-3,1/13/2023," 174,812.09 "
NI-3,1/14/2023," 242,042.24 "
NI-3,1/15/2023," 221,415.08 "
NI-3,1/16/2023," 192,498.03 "
NI-3,1/17/2023," 165,461.06 "
NI-3,1/18/2023," 144,801.74 "
NI-3,1/19/2023," 156,862.48 "
NI-3,1/20/2023," 156,292.24 "
NI-3,1/21/2023," 196,746.94 "
NI-3,1/22/2023," 170,380.96 "
NI-3,1/23/2023," 162,273.30 "
NI-3,1/24/2023," 140,029.75 "
NI-3,1/25/2023," 136,992.06 "
NI-3,1/26/2023," 138,430.51 "
NI-3,1/27/2023," 154,412.17 "
NI-3,1/28/2023," 211,748.91 "
NI-3,1/29/2023," 187,213.69 "
NI-3,1/30/2023," 208,228.87 "
NI-3,1/31/2023," 211,281.57 "
NI-5,1/1/2023," 69,603.28 "
NI-5,1/2/2023," 203,073.15 "
NI-5,1/3/2023," 174,848.54 "
NI-5,1/4/2023," 155,737.01 "
NI-5,1/5/2023," 141,946.26 "
NI-5,1/6/2023," 160,142.41 "
NI-5,1/7/2023," 191,580.51 "
NI-5,1/8/2023," 151,651.02 "
NI-5,1/9/2023," 193,760.70 "
NI-5,1/10/2023," 182,478.14 "
NI-5,1/11/2023," 157,533.47 "
NI-5,1/12/2023," 135,026.24 "
NI-5,1/13/2023," 220,471.83 "
NI-5,1/14/2023," 281,980.30 "
NI-5,1/15/2023," 216,366.54 "
NI-5,1/16/2023," 220,791.24 "
NI-5,1/17/2023," 184,199.58 "
NI-5,1/18/2023," 158,474.58 "
NI-5,1/19/2023," 163,490.95 "
NI-5,1/20/2023," 172,198.86 "
NI-5,1/21/2023," 200,970.13 "
NI-5,1/22/2023," 155,469.04 "
NI-5,1/23/2023," 185,513.69 "
NI-5,1/24/2023," 141,067.33 "
NI-5,1/25/2023," 140,374.89 "
NI-5,1/26/2023," 138,917.14 "
NI-5,1/27/2023," 161,119.96 "
NI-5,1/28/2023," 236,146.93 "
NI-5,1/29/2023," 198,982.88 "
NI-5,1/30/2023," 233,636.59 "
NI-5,1/31/2023," 198,176.83 "
SV-1,1/1/2023," 156,015.69 "
SV-1,1/2/2023," 301,998.64 "
SV-1,1/3/2023," 239,371.13 "
SV-1,1/4/2023," 196,770.53 "
SV-1,1/5/2023," 219,367.79 "
SV-1,1/6/2023," 204,912.49 "
SV-1,1/7/2023," 334,722.98 "
SV-1,1/8/2023," 232,504.69 "
SV-1,1/9/2023," 243,641.48 "
SV-1,1/10/2023," 189,831.21 "
SV-1,1/11/2023," 203,658.39 "
SV-1,1/12/2023," 178,212.08 "
SV-1,1/13/2023," 226,853.77 "
SV-1,1/14/2023," 266,032.94 "
SV-1,1/15/2023," 229,563.47 "
SV-1,1/16/2023," 212,610.69 "
SV-1,1/17/2023," 185,996.04 "
SV-1,1/18/2023," 213,821.91 "
SV-1,1/19/2023," 160,290.33 "
SV-1,1/20/2023," 220,855.56 "
SV-1,1/21/2023," 248,396.31 "
SV-1,1/22/2023," 237,133.05 "
SV-1,1/23/2023," 265,055.39 "
SV-1,1/24/2023," 253,815.71 "
SV-1,1/25/2023," 206,848.29 "
SV-1,1/26/2023," 162,528.41 "
SV-1,1/27/2023," 173,806.68 "
SV-1,1/28/2023," 229,619.21 "
SV-1,1/29/2023," 230,688.94 "
SV-1,1/30/2023," 187,016.46 "
SV-1,1/31/2023," 270,444.78 "
SV-2,1/1/2023," 12,892.51 "
SV-2,1/2/2023," 30,769.24 "
SV-2,1/3/2023," 33,234.56 "
SV-2,1/4/2023," 31,416.66 "
SV-2,1/5/2023," 30,524.86 "
SV-2,1/6/2023," 31,553.86 "
SV-2,1/7/2023," 41,303.63 "
SV-2,1/8/2023," 31,495.98 "
SV-2,1/9/2023," 34,156.37 "
SV-2,1/10/2023," 25,722.86 "
SV-2,1/11/2023," 29,907.46 "
SV-2,1/12/2023," 30,402.66 "
SV-2,1/13/2023," 31,879.71 "
SV-2,1/14/2023," 53,613.04 "
SV-2,1/15/2023," 41,215.74 "
SV-2,1/16/2023," 36,926.09 "
SV-2,1/17/2023," 28,730.54 "
SV-2,1/18/2023," 32,055.49 "
SV-2,1/19/2023," 32,720.06 "
SV-2,1/20/2023," 35,395.46 "
SV-2,1/21/2023," 47,932.11 "
SV-2,1/22/2023," 38,641.09 "
SV-2,1/23/2023," 32,445.66 "
SV-2,1/24/2023," 30,919.31 "
SV-2,1/25/2023," 33,566.84 "
SV-2,1/26/2023," 26,674.68 "
SV-2,1/27/2023," 33,005.18 "
SV-2,1/28/2023," 47,123.91 "
SV-2,1/29/2023," 37,824.33 "
SV-2,1/30/2023," 40,113.85 "
SV-2,1/31/2023," 40,864.16 "
SV-3,1/1/2023," 149,348.63 "
SV-3,1/2/2023," 211,843.23 "
SV-3,1/3/2023," 177,498.21 "
SV-3,1/4/2023," 174,336.18 "
SV-3,1/5/2023," 168,996.10 "
SV-3,1/6/2023," 177,969.84 "
SV-3,1/7/2023," 223,406.62 "
SV-3,1/8/2023," 235,212.25 "
SV-3,1/9/2023," 164,597.13 "
SV-3,1/10/2023," 155,895.64 "
SV-3,1/11/2023," 156,090.73 "
SV-3,1/12/2023," 148,210.30 "
SV-3,1/13/2023," 224,815.06 "
SV-3,1/14/2023," 337,983.63 "
SV-3,1/15/2023," 371,288.93 "
SV-3,1/16/2023," 250,715.85 "
SV-3,1/17/2023," 195,323.49 "
SV-3,1/18/2023," 190,643.69 "
SV-3,1/19/2023," 173,776.66 "
SV-3,1/20/2023," 189,153.78 "
SV-3,1/21/2023," 255,562.87 "
SV-3,1/22/2023," 267,469.26 "
SV-3,1/23/2023," 206,936.19 "
SV-3,1/24/2023," 183,972.34 "
SV-3,1/25/2023," 173,137.83 "
SV-3,1/26/2023," 174,861.40 "
SV-3,1/27/2023," 190,077.74 "
SV-3,1/28/2023," 288,096.42 "
SV-3,1/29/2023," 290,585.31 "
SV-3,1/30/2023," 240,039.98 "
SV-3,1/31/2023," 227,902.06 "
SV-5,1/1/2023," 75,490.01 "
SV-5,1/2/2023," 349,752.81 "
SV-5,1/3/2023," 309,600.38 "
SV-5,1/4/2023," 282,280.43 "
SV-5,1/5/2023," 264,579.48 "
SV-5,1/6/2023," 284,842.21 "
SV-5,1/7/2023," 404,830.04 "
SV-5,1/8/2023," 387,341.33 "
SV-5,1/9/2023," 306,824.22 "
SV-5,1/10/2023," 265,535.59 "
SV-5,1/11/2023," 243,189.14 "
SV-5,1/12/2023," 241,456.99 "
SV-5,1/13/2023," 331,127.91 "
SV-5,1/14/2023," 577,991.44 "
SV-5,1/15/2023," 537,716.81 "
SV-5,1/16/2023," 421,750.66 "
SV-5,1/17/2023," 318,389.75 "
SV-5,1/18/2023," 274,905.93 "
SV-5,1/19/2023," 259,676.73 "
SV-5,1/20/2023," 315,414.23 "
SV-5,1/21/2023," 493,390.49 "
SV-5,1/22/2023," 437,552.24 "
SV-5,1/23/2023," 329,629.43 "
SV-5,1/24/2023," 295,320.86 "
SV-5,1/25/2023," 284,460.62 "
SV-5,1/26/2023," 276,991.79 "
SV-5,1/27/2023," 317,405.77 "
SV-5,1/28/2023," 505,714.91 "
SV-5,1/29/2023," 477,706.82 "
SV-5,1/30/2023," 393,875.48 "
SV-5,1/31/2023," 392,852.91 "
